YEAR.WEEK,SUMMER,MONTH,DAYS,UNEMPLOYMENT,UTILITY.GAS,North CRIMES,West CRIMES,Central CRIMES
2006,No,Jan,1,39889,1.705,241,114,143
2006.01,No,Jan,7,39889,1.705,2041,706,822
2006.02,No,Jan,7,39889,1.705,2064,635,799
2006.03,No,Jan,7,39889,1.705,2096,721,846
2006.04,No,Jan,7,39889,1.705,1962,698,782
2006.05,No,Jan,7,39889,1.705,2066,652,853
2006.06,No,Feb,7,39051,1.705,1711,553,707
2006.07,No,Feb,7,39051,1.705,1732,598,649
2006.08,No,Feb,7,39051,1.705,1902,608,807
2006.09,No,Feb,7,39051,1.705,1826,597,813
2006.1,No,Mar,7,37543,1.671,1990,615,840
2006.11,No,Mar,7,37543,1.671,2037,635,789
2006.12,No,Mar,7,37543,1.671,1887,620,747
2006.13,No,Mar,7,37543,1.671,2035,611,845
2006.14,No,Apr,7,35645,1.663,1903,667,786
2006.15,No,Apr,7,35645,1.663,2262,739,931
2006.16,No,Apr,7,35645,1.663,1999,668,860
2006.17,No,Apr,7,35645,1.663,2008,677,831
2006.18,No,May,7,37946,1.663,2041,706,854
2006.19,No,May,7,37946,1.663,2053,672,867
2006.2,No,May,7,37946,1.663,2069,700,803
2006.21,No,May,7,37946,1.663,2158,750,912
2006.22,No,May,7,37946,1.663,1997,671,838
2006.23,No,Jun,7,40179,1.598,2204,689,878
2006.24,No,Jun,7,40179,1.598,2204,738,888
2006.25,Yes,Jun,7,40179,1.598,2192,823,964
2006.26,Yes,Jun,7,40179,1.598,2135,749,1049
2006.27,Yes,Jul,7,42513,1.603,1980,681,952
2006.28,Yes,Jul,7,42513,1.603,2308,717,916
2006.29,Yes,Jul,7,42513,1.603,2255,767,968
2006.3,Yes,Jul,7,42513,1.603,2187,834,1072
2006.31,Yes,Jul,7,42513,1.603,2225,735,879
2006.32,Yes,Aug,7,41035,1.603,2315,746,1119
2006.33,Yes,Aug,7,41035,1.603,2340,810,1045
2006.34,Yes,Aug,7,41035,1.603,2232,731,988
2006.35,Yes,Aug,7,41035,1.603,2050,680,942
2006.36,Yes,Sep,7,38005,1.543,2139,698,863
2006.37,Yes,Sep,7,38005,1.543,2147,677,860
2006.38,Yes,Sep,7,38005,1.543,2228,729,799
2006.39,No,Sep,7,38005,1.543,2342,740,889
2006.4,No,Oct,7,35581,1.515,2061,749,808
2006.41,No,Oct,7,35581,1.515,2100,761,823
2006.42,No,Oct,7,35581,1.515,2276,784,841
2006.43,No,Oct,7,35581,1.515,2241,789,800
2006.44,No,Oct,7,35581,1.515,2223,739,841
2006.45,No,Nov,7,36787,1.514,2222,734,847
2006.46,No,Nov,7,36787,1.514,2135,719,838
2006.47,No,Nov,7,36787,1.514,1955,628,721
2006.48,No,Nov,7,36787,1.514,2275,794,831
2006.49,No,Dec,7,34511,1.483,1951,643,687
2006.5,No,Dec,7,34511,1.483,2197,684,814
2006.51,No,Dec,7,34511,1.483,1927,616,717
2006.52,No,Dec,7,34511,1.483,1858,627,678
2007.01,No,Jan,7,40482,1.482,2010,633,791
2007.02,No,Jan,7,40482,1.482,2077,746,743
2007.03,No,Jan,7,40482,1.482,1998,645,663
2007.04,No,Jan,7,40482,1.482,1842,707,670
2007.05,No,Jan,7,40482,1.482,1861,557,673
2007.06,No,Feb,7,36592,1.482,1827,573,593
2007.07,No,Feb,7,36592,1.482,1474,518,516
2007.08,No,Feb,7,36592,1.482,1760,630,635
2007.09,No,Feb,7,36592,1.482,1941,702,733
2007.1,No,Mar,7,34860,1.512,1886,640,713
2007.11,No,Mar,7,34860,1.512,1792,623,707
2007.12,No,Mar,7,34860,1.512,2062,737,771
2007.13,No,Mar,7,34860,1.512,2352,721,788
2007.14,No,Apr,7,32915,1.505,2203,644,827
2007.15,No,Apr,7,32915,1.505,2017,684,678
2007.16,No,Apr,7,32915,1.505,2143,733,831
2007.17,No,Apr,7,32915,1.505,2256,655,809
2007.18,No,Apr,7,32915,1.505,2135,725,844
2007.19,No,May,7,36947,1.506,2243,725,858
2007.2,No,May,7,36947,1.506,2056,730,808
2007.21,No,May,7,36947,1.506,2186,779,815
2007.22,No,May,7,36947,1.506,2104,718,815
2007.23,No,Jun,7,39493,1.512,2050,673,836
2007.24,No,Jun,7,39493,1.512,2092,721,788
2007.25,Yes,Jun,7,39493,1.512,2071,667,824
2007.26,Yes,Jun,7,39493,1.512,2079,730,834
2007.27,Yes,Jul,7,41661,1.513,2140,650,814
2007.28,Yes,Jul,7,41661,1.513,2255,712,854
2007.29,Yes,Jul,7,41661,1.513,2090,776,806
2007.3,Yes,Jul,7,41661,1.513,2038,738,928
2007.31,Yes,Jul,7,41661,1.513,2120,668,795
2007.32,Yes,Aug,7,39871,1.513,2095,716,808
2007.33,Yes,Aug,7,39871,1.513,2084,722,854
2007.34,Yes,Aug,7,39871,1.513,2073,673,857
2007.35,Yes,Aug,7,39871,1.513,2158,782,835
2007.36,Yes,Sep,7,38460,1.491,2019,747,765
2007.37,Yes,Sep,7,38460,1.491,2073,775,800
2007.38,Yes,Sep,7,38460,1.491,1985,759,863
2007.39,No,Sep,7,38460,1.491,2123,691,806
2007.4,No,Oct,7,37868,1.49,2105,737,802
2007.41,No,Oct,7,37868,1.49,1976,733,766
2007.42,No,Oct,7,37868,1.49,2076,701,801
2007.43,No,Oct,7,37868,1.49,2003,705,718
2007.44,No,Oct,7,37868,1.49,1852,585,724
2007.45,No,Nov,7,36908,1.499,1827,620,709
2007.46,No,Nov,7,36908,1.499,2032,681,760
2007.47,No,Nov,7,36908,1.499,1758,649,684
2007.48,No,Nov,7,36908,1.499,2105,697,730
2007.49,No,Dec,7,37439,1.485,1923,606,715
2007.5,No,Dec,7,37439,1.485,2021,646,733
2007.51,No,Dec,7,37439,1.485,1845,633,688
2007.52,No,Dec,7,37439,1.485,1677,682,676
2007.53,No,Dec,1,37439,1.485,219,93,77
2008,No,Jan,6,42908,1.481,1494,511,655
2008.01,No,Jan,7,42908,1.481,2084,711,858
2008.02,No,Jan,7,42908,1.481,1839,697,740
2008.03,No,Jan,7,42908,1.481,1823,665,748
2008.04,No,Jan,7,42908,1.481,1861,622,699
2008.05,No,Feb,7,40772,1.483,1947,753,769
2008.06,No,Feb,7,40772,1.483,1729,596,684
2008.07,No,Feb,7,40772,1.483,1882,646,680
2008.08,No,Feb,7,40772,1.483,2006,678,801
2008.09,No,Mar,7,40379,1.534,2052,724,693
2008.1,No,Mar,7,40379,1.534,2233,737,819
